full_name,diameter,profit,price,dv,class,spec
2100 Ra-Shalom (1978 RA),2.3,1.30812E+11,1.75539E+12,10.648993,ATE,Xc
3317 Paris (1984 KF),118.79,94841903227,1.81681E+12,14.641298,TJN,T
624 Hektor (1907 XM),225,1.32442E+11,2.36626E+12,13.652932,TJN,D
3671 Dionysus (1984 KD),1.5,3.04028E+11,2.62441E+12,7.181451,APO,Cb
17274 (2000 LC16),3.183,4.72537E+11,4.23051E+12,7.334661,AMO,Xk
6178 (1986 DA),2.3,4.84742E+11,4.24569E+12,7.229358,AMO,M
596 Scheila (1906 UA),159.726,3.15727E+11,4.41668E+12,10.802042,MBA,T
85989 (1999 JD6),1.462,2.54722E+11,4.77188E+12,14.847421,ATE,K
4786 Tatianina (1985 PE2),3.282,4.50421E+11,5.10041E+12,8.851411,MBA,Xc
4942 Munroe (1987 DU6),3.453,4.95448E+11,5.40098E+12,8.563051,MBA,X
1943 Anteros (1973 EC),2.3,1.24911E+12,5.5743E+12,5.439653,AMO,L
2048 Dwornik (1973 QA),2.613,4.19142E+11,6.22562E+12,11.569159,IMB,M
137805 (1999 YK5),3.879,4.75649E+11,7.65671E+12,12.768465,ATE,X
3762 Amaravella (1976 QN1),3.898,6.7775E+11,7.76977E+12,8.956336,MBA,X
2001 Einstein (1973 EB),3.975,5.91002E+11,8.23937E+12,10.86622,IMB,Xe
2736 Ops (1979 OC),3.976,7.62758E+11,9.06836E+12,9.265796,MBA,Xc
3691 Bede (1982 FT),4.3,1.04474E+12,1.14708E+13,8.661922,AMO,Xc
1025 Riema (1923 NX),4.605,8.01235E+11,1.28107E+13,12.447621,IMB,Xe
3169 Ostro (1981 LA),4.662,8.94628E+11,1.32923E+13,11.582007,IMB,Xe
2035 Stearns (1973 SC),4.824,9.70166E+11,1.47267E+13,11.834711,MCA,Xe
4548 Wielen (2538 P-L),5.22,1.69487E+12,2.05211E+13,9.428358,MBA,Xc
8201 (1994 AH2),1.859,2.11164E+12,2.10243E+13,7.952142,APO,O
405058 (2001 TX16),5.6,2.13935E+12,2.30381E+13,8.433506,OMB,X
25330 (1999 KV4),3.21,3.73397E+12,2.56843E+13,6.383857,APO,B
3958 Komendantov (1953 TC),6.084,2.86051E+12,3.24906E+13,8.868494,MBA,Xc
4686 Maisica (1979 SX2),3.477,2.8702E+12,3.26412E+13,8.884587,MBA,B
2086 Newell (1966 BC),6.096,2.72947E+12,3.26832E+13,9.319573,MBA,Xc
